Funcion objetivo: 890.0 (time limit exceeded)

Variables x_ != 0:
  y_50_51 = 1.0
  y_55_61 = 1.0
  y_56_57 = 1.0
  y_58_51 = 1.0
  y_62_61 = 1.0
  y_63_71 = 1.0
  y_67_61 = 1.0
  y_68_61 = 1.0
  y_69_61 = 1.0
  y_70_71 = 1.0
  y_73_79 = 1.0
  y_76_83 = 1.0
  y_77_85 = 1.0
  y_80_79 = 1.0
  y_81_89 = 1.0
  y_84_92 = 1.0
  y_87_86 = 1.0
  y_88_89 = 1.0
  y_90_89 = 1.0
  y_91_92 = 1.0
  y_93_85 = 1.0
  y_94_86 = 1.0
  y_95_89 = 1.0
  y_96_89 = 1.0
  y_97_89 = 1.0
  y_98_92 = 1.0
  y_99_92 = 1.0

Otras variables (u_, p_):
  u_0 = 0.0
  u_1 = 1.0
  u_2 = 1.0
  u_3 = 1.0
  u_4 = 1.0
  u_5 = 1.0
  u_6 = 1.0
  u_7 = 1.0
  u_8 = 1.0
  u_9 = 3.0
  u_10 = 7.0
  u_11 = 1.0
  u_12 = 9.0
  u_13 = 1.0
  u_14 = 1.0
  u_15 = 4.0
  u_16 = 6.0
  u_17 = 1.0
  u_18 = 8.0
  u_19 = 1.0
  u_20 = 10.0
  u_21 = 1.0
  u_22 = 1.0
  u_23 = 5.0
  u_24 = 1.0
  u_25 = 1.0
  u_26 = 11.0
  u_27 = 1.0
  u_28 = 1.0
  u_29 = 1.0
  u_30 = 1.0
  u_31 = 1.0
  u_32 = 1.0
  u_33 = 1.0
  u_34 = 12.0
  u_35 = 1.0
  u_36 = 35.0
  u_37 = 1.0
  u_38 = 1.0
  u_39 = 2.0
  u_40 = 13.0
  u_41 = 100.0
  u_42 = 1.0
  u_43 = 34.0
  u_44 = 36.0
  u_45 = 1.0
  u_46 = 98.0
  u_47 = 99.0
  u_48 = 14.0
  u_49 = 1.0
  u_50 = 1.0
  u_51 = 33.0
  u_52 = 37.0
  u_53 = 97.0
  u_54 = 15.0
  u_55 = 1.0
  u_56 = 1.0
  u_57 = 32.0
  u_58 = 1.0
  u_59 = 16.0
  u_60 = 95.0
  u_61 = 96.0
  u_62 = 1.0
  u_63 = 1.0
  u_64 = 31.0
  u_65 = 23.0
  u_66 = 22.0
  u_67 = 1.0
  u_68 = 1.0
  u_69 = 1.0
  u_70 = 1.0
  u_71 = 24.0
  u_72 = 30.0
  u_73 = 1.0
  u_74 = 17.0
  u_75 = 21.0
  u_76 = 1.0
  u_77 = 1.0
  u_78 = 25.0
  u_79 = 29.0
  u_80 = 1.0
  u_81 = 1.0
  u_82 = 18.0
  u_83 = 20.0
  u_84 = 1.0
  u_85 = 28.0
  u_86 = 26.0
  u_87 = 1.0
  u_88 = 1.0
  u_89 = 19.0
  u_90 = 1.0
  u_91 = 1.0
  u_92 = 27.0
  u_93 = 1.0
  u_94 = 1.0
  u_95 = 1.0
  u_96 = 1.0
  u_97 = 1.0
  u_98 = 1.0
  u_99 = 1.0
  u_100 = 1.0
  p_0 = 1.0
  p_1 = 0.0
  p_2 = 0.0
  p_3 = 0.0
  p_4 = 0.0
  p_5 = 0.0
  p_6 = 0.0
  p_7 = 0.0
  p_8 = 0.0
  p_9 = 1.0
  p_10 = 1.0
  p_11 = 0.0
  p_12 = 1.0
  p_13 = 0.0
  p_14 = 0.0
  p_15 = 1.0
  p_16 = 1.0
  p_17 = 0.0
  p_18 = 1.0
  p_19 = 0.0
  p_20 = 1.0
  p_21 = 0.0
  p_22 = 0.0
  p_23 = 1.0
  p_24 = 0.0
  p_25 = 0.0
  p_26 = 1.0
  p_27 = 0.0
  p_28 = 0.0
  p_29 = 0.0
  p_30 = 0.0
  p_31 = 0.0
  p_32 = 0.0
  p_33 = 0.0
  p_34 = 1.0
  p_35 = 0.0
  p_36 = 1.0
  p_37 = 0.0
  p_38 = 0.0
  p_39 = 1.0
  p_40 = 1.0
  p_41 = 1.0
  p_42 = 0.0
  p_43 = 1.0
  p_44 = 1.0
  p_45 = 0.0
  p_46 = 1.0
  p_47 = 1.0
  p_48 = 1.0
  p_49 = 0.0
  p_50 = 0.0
  p_51 = 1.0
  p_52 = 1.0
  p_53 = 1.0
  p_54 = 1.0
  p_55 = 0.0
  p_56 = 0.0
  p_57 = 1.0
  p_58 = 0.0
  p_59 = 1.0
  p_60 = 1.0
  p_61 = 1.0
  p_62 = 0.0
  p_63 = 0.0
  p_64 = 1.0
  p_65 = 1.0
  p_66 = 1.0
  p_67 = 0.0
  p_68 = 0.0
  p_69 = 0.0
  p_70 = 0.0
  p_71 = 1.0
  p_72 = 1.0
  p_73 = 0.0
  p_74 = 1.0
  p_75 = 1.0
  p_76 = 0.0
  p_77 = 0.0
  p_78 = 1.0
  p_79 = 1.0
  p_80 = 0.0
  p_81 = 0.0
  p_82 = 1.0
  p_83 = 1.0
  p_84 = 0.0
  p_85 = 1.0
  p_86 = 1.0
  p_87 = 0.0
  p_88 = 0.0
  p_89 = 1.0
  p_90 = 0.0
  p_91 = 0.0
  p_92 = 1.0
  p_93 = 0.0
  p_94 = 0.0
  p_95 = 0.0
  p_96 = 0.0
  p_97 = 0.0
  p_98 = 0.0
  p_99 = 0.0
  p_100 = 1.0
